year	band	in_herit_analysis	in_18_19_exp	in_epp_analysis	exclude	unsamp_egg	soc_un	soc_box	soc_uby	laid_un	laid_box	laid_ub	lay_clutch	gen_dad_uby	soc_mal_x	soc_mal_y	gen_mal_x	gen_mal_y	dist_soc_gen	soc_ci	gen_ci	offset_soc_gen	sex	soc_mal_caught	type	both_parent_knwn	in_xfost_exp	raised_nest	soc_mom	gen_mom	soc_dad_raised	soc_dad_laid	gen_dad	d12_mass	d12_wing	d12_head	d12_bgluc	d12_sgluc	d12_dgluc	d15_acgluc	d12_lat	d12_time	d15_mass	d15_time	d12_base	d12_stress	d12_dex	d15_acth	note
2019	278172285	yes		yes		no	1	47	1_47_2019	1	105	1_105_2019	5	1_105_2019	379556	4706847	379556	4706847	0	135	135	0		yes	WP	yes	yes	cross	278172224	281128701	272106628	262125449	262125449	17.5	51	25.7	258	248	202	212	141	738	14.75	602	4.484	34.601	3.208	18.226	
2019	281128712	yes		yes		no	2	111	2_111_2019	2	111	2_111_2019	5	1_79_2019	381774	4706623	379482	4706915	2311	125	156	31		yes	EP	yes	yes	home	272107739	272107739	259122557	259122557	278171397	19	50	25.7	154	169	176	226	145	743	18.5	659	2.555	45.666	4.687	18.42	"Male is from 1.79, but is a perfect match for all three. Must be him."
2018	272107588	yes		yes		no	4	61	4_61_2018	4	61	4_61_2018	6	4_93_2018	387770	4701886	387696	4702109	235	132	138	6	F	yes	EP	yes	yes	home	240134898	240134898	259122329	259122329	240134830	22	59	26					105	796	17	566	2.419	12.455		18.497	
2019	281128754	yes		yes		no	2	62	2_62_2019	2	62	2_62_2019	5	2_62_2019	381715	4706524	381715	4706524	0	140	140	0		yes	WP	yes	yes	home	272107855	272107855	281128501	281128501	281128501	19.5	50	26.3	203	202	200	230	132	724	13.5	594	4.517	9.667	4.885	18.812	
2018	272106828	yes		yes		no	1	32	1_32_2018	2	6	2_6_2018	6	2_6_2018	382003	4706575	382003	4706575	0	132	132	0	F	yes	WP	yes	yes	cross	272107802	272106901	88004790	272107696	272107696	19.5	38	24.9					40	860	16	650	3.768	2.615	3.769	18.867	
2018	272107266	no		yes		no	4	80	4_80_2018	4	80	4_80_2018	5		387613	4702593				133			M	yes	EP	no	yes	home	272107599	272107599	263114115	263114115		21.5	53	25.7					35	875	18.5	715	1.814	6.597	3.073	19.012	
2018	272106893	yes		yes		no	2	22	2_22_2018	2	68	2_68_2018	3	2_68_2018	381714	4706637	381714	4706637	0	130	130	0	M	yes	WP	yes	yes	cross	272106635	272106733	263113739	272106916	272106916	20.2	51	25					74	756	18.5	621	1.32	33.013	4.351	19.03	
2019	281128732	yes		yes		no	2	80	2_80_2019	2	80	2_80_2019	6	2_80_2019	381894	4706686	381894	4706686	0	132	132	0		yes	WP	yes	yes	home	278172150	278172150	278172164	278172164	278172164	18	54	25.8	195	155	125	157	63	722	13.25	593	8.196	41.058	9.765	19.08	
2019	281128790	yes		yes		no	1	19	1_19_2019	1	19	1_19_2019	3	Unknown	379610	4706727				161				yes	EP	yes	yes	home	278172231	278172231	169139088	169139088	272106615	19.75	53	25.2	220	216	254	210	56	720	17	576	1.147	23.349	11.254	19.117	
2019	278172291	no		yes		no	2	72	2_72_2019	2	72	2_72_2019	5		381740	4706705				144				yes	EP	no	yes	home	281128603	281128603	278172288	278172288		18	54	24.5	226	277	240	242	78	734	15.5	563	1.632	27.929	8.758	19.191	no match
2018	272107457	yes		yes		no	2	117	2_117_2018	2	117	2_117_2018	6	2_122_2018	381887	4706624	381982	4706625	95	137	126	-11	M	yes	EP	yes	yes	home	272106913	272106913	263114341	263114341	262126015	19	47	24.8					137	767	18.1	663	1.98	8.499	2.747	19.242	
2018	272107273	yes		yes		no	1	91	1_91_2018	1	91	1_91_2018	5	1_85_2018	379479	4706863	379561	4706889	86	133	136	3	F	yes	EP	yes	yes	home	272107809	272107809	272107634	272107634	272107529	19.5	44	24.1					83	725	16.5	603	0.47	12.97		19.314	
2019	281128775	yes		yes		no	2	119	2_119_2019	2	119	2_119_2019	5	2_119_2019	381924	4706624	381924	4706624	0	154	154	0		yes	WP	yes	yes	home	281128405	281128405	281128772	281128772	281128772	24.5	60	25.5	199	237	283	239	48	720	19	586	0.82	43.412	9.243	19.471	
2018	272107279	yes		yes		no	1	81	1_81_2018	1	91	1_91_2018	5	1_91_2018	379479	4706863	379479	4706863	0	133	133	0	F	yes	WP	yes	yes	cross	232146953	272107809	262125966	272107634	272107634	18.5	45	24.1					176	779	13.5	549	2.979	37.347	6.088	19.712	
2018	272107448	yes		yes		no	2	86	2_86_2018	2	80	2_80_2018	6	2_80_2018	381894	4706686	381894	4706686	0	132	132	0	M	yes	WP	yes	yes	cross	272106907	272106904	272106824	272107256	272107256	21.5	57.5	25.9					76	888	17.25	698	2.508	18.796	10.422	19.741	
2019	281128437	no		yes		no	2	31	2_31_2019	2	31	2_31_2019	6		381932	4706537				142				yes	EP	no	yes	home	272107361	272107361	278171892	278171892		21	42	23.8	287	259	266	199	49	746	17.75	542	1.109	8.764	3.149	19.765	"Cervus thinks this could be 281128773, but has one mismatch at tle19 that can't be reconciled."
2018	272106827	no		yes		no	1	32	1_32_2018	2	6	2_6_2018	6		382003	4706575				132			F	yes	EP	no	yes	cross	272107802	272106901	88004790	272107696		15.5	30	22					30	860	12.5	650	1.791	2.438	3.244	19.767	
2018	272106842	yes		yes		no	2	12	2_12_2018	2	8	2_8_2018	6	2_12_2018	381964	4706575	381888	4706574	76	132	132	0	F	yes	EP	yes	yes	cross	272107748	272106902	272107816	272107789	272107816	20.5	57	24.9					140	769	17.25	589	2.726	4.854	3.056	19.907	
2019	281128739	yes		yes		no	2	39	2_39_2019	2	39	2_39_2019	6	2_39_2019	382081	4706540	382081	4706540	0	132	132	0		yes	WP	yes	yes	home	272107748	272107748	272107817	272107817	272107817	19.5	60	21.7	323	344	278	182	88	840	17	626	2.56	35.711	11.834	19.935	
2019	278172292	no		no	yes	no	2	72	2_72_2019	2	unk	2_unk_2019			381740	4706705								yes	UNK	no	yes	unk	281128603	unk	278172288	unk		19.25	53	25	187	197	230	289	97	734	17.75	563	0.735	19.84	2.681	19.943	These nestlings do not match the putative parents. Likely some mistake with cross fostering that is not resolveable.
2018	272107692	yes		yes		no	4	62	4_62_2018	4	61	4_61_2018	6	4_93_2018	387770	4701886	387696	4702109	235	132	138	6	F	yes	EP	yes	yes	cross	272107219	240134898	unk	259122329	240134830	21	48	26					122	788	18.75	700	3.478	24.75	4.939	20.013	
2019	281128789	yes		yes		no	1	19	1_19_2019	1	19	1_19_2019	3	Unknown	379610	4706727				161				yes	EP	yes	yes	home	278172231	278172231	169139088	169139088	272106615	21.5	45	25.9	176	204	263	189	82	720	18.5	576	0.47	27.927	7.535	20.11	
2018	272107830	yes		yes		no	1	85	1_85_2018	1	85	1_85_2018	5	1_85_2018	379561	4706889	379561	4706889	0	136	136	0	F	yes	WP	yes	yes	home	272106711	272106711	272107529	272107529	272107529	20	51	25.3					45	777	14.75	588	2.593	20.463	11.249	20.671	
2019	281128803	yes		yes		no	1	81	1_81_2019	1	81	1_81_2019	6	1_81_2019	379528	4706915	379528	4706915	0	135	135	0		yes	WP	yes	yes	home	272107809	272107809	262125966	262125966	262125966	16.5	49	24.1	184	179	210	228	90	779	16.75	640	10.129	38.075	2.916	20.676	
2018	156181129	yes		yes		no	2	14	2_14_2018	2	18	2_18_2018	6	2_18_2018	381778	4706573	381778	4706573	0	133	133	0	M	yes	WP	yes	yes	cross	272106905	272106817	272107762	272107800	272107800										17.75	590				20.814	
2018	272107691	yes		yes		no	4	62	4_62_2018	4	61	4_61_2018	6	4_61_2018	387770	4701886	387770	4701886	0	132	132	0	M	yes	WP	yes	yes	cross	272107219	240134898	unk	259122329	259122329	22	43	25.3					60	788	19.5	700	0.831	19.338	4.57	20.856	
2019	281128781	yes		yes		no	2	50	2_50_2019	2	50	2_50_2019	5	2_32_2019	381930	4706495	381950	4706538	47	156	135	-21		yes	EP	yes	yes	home	281128404	281128404	281128773	281128773	278172169	21	55	25.5	172	166	232	235	99	753	19.5	564	2.041	6.409	6.072	20.859	
2018	272106848	yes		yes		no	2	38	2_38_2018	2	38	2_38_2018	5	2_8_2018	382062	4706539	381964	4706575	104	133	132	-1	F	yes	EP	yes	yes	home	272107806	272107806	232173070	232173070	272107789	23.5	53	25.3					119	871	17.5	547	5.582	17.94	5.801	20.887	
2019	281128709	yes		yes		no	2	111	2_111_2019	2	111	2_111_2019	5	2_111_2019	381774	4706623	381774	4706623	0	125	125	0		yes	WP	yes	yes	home	272107739	272107739	259122557	259122557	259122557	15.5	47	24.8	176	163	173	236	73	743	16	659	2.304	19.364	5.852	20.892	
2019	278171882	yes		yes		no	2	68	2_68_2019	2	68	2_68_2019	8	2_111_2019	381714	4706637	381774	4706623	62	129	125	-4		yes	EP	yes	yes	home	272106822	272106822	263114244	263114244	259122557	18	49	24.9	286	290	319	227	92	798	15.25	655	2.468	8.83	4.703	20.958	
2018	156181149	yes		yes		no	1	12	1_12_2018	1	12	1_12_2018	6	1_12_2018	379652	4706662	379652	4706662	0	138	138	0	M	yes	WP	yes	yes	home	272107794	272107794	272107345	272107345	272107345	20.5	49.5	26					150	767	20.5	561	2.57	47.469	6.98	20.985	
2019	281128503	yes		yes		no	2	41	2_41_2019	2	15	2_15_2019	5	2_15_2019	381832	4706573	381832	4706573	0	139	139	0		yes	WP	yes	yes	cross	278172152	278172155	272106957	272107335	272107335	18.5	42	24.4	218	270	265	183	56	741	18.75	580	1.167	15.142	4.234	21.083	
2018	272106833	yes		yes		no	2	8	2_8_2018	2	12	2_12_2018	6	2_12_2018	381888	4706574	381888	4706574	0	132	132	0	M	yes	WP	yes	yes	cross	272106902	272107748	272107789	272107816	272107816	24.25	51	25.2					120	726	20.75	588	2.095	11.819	6.719	21.097	
2019	281128445	yes		yes		no	2	54	2_54_2019	2	54	2_54_2019	6	2_3_2019	381852	4706494	382059	4706577	223	141	139	-2		yes	EP	yes	yes	home	272106728	MysteryA	278171879	278171879	272107815	20.75	53	25	204	281	256	230	120	765	16	#VALUE!	2.413	16.845	1.972	21.275	Don't match genotype for anyone. Must be 2.54. Maybe have run wrong female sample or something?? Most likely sired by this male from 2.3 who is the only good match
2018	272107851	yes		yes		no	TF	2	TF_2_2018	TF	2	TF_2_2018	0	TF_2_2018						0			F	yes	WP	yes	yes	home	272107465	272107465	272107466	272107466	272107466	23	54.5	25.4					57	802	18.75	657	2.755	6.468	2.456	21.344	
2018	272106940	yes		yes		no	4	72	4_72_2018	4	72	4_72_2018	6	4_71_2018	387635	4702341	387642	4702298	44	133	141	8	M	yes	EP	yes	yes	home	272107298	272107298	239159375	239159375	272107693	23.5	44	23.8					90	825	13.5	666	0.47	2.432	3.157	21.561	
2018	156181144	yes		yes		no	2	112	2_112_2018	2	112	2_112_2018	6	2_112_2018	381794	4706623	381794	4706623	0	132	132	0	F	yes	WP	yes	yes	home	272106903	272106903	272107690	272107690	272107690	21.5	51.5	25.4					114	878	18.75	632	0.47	13.294	4.391	21.753	
2019	281128677	yes		yes		no	1	58	1_58_2019	1	134	1_134_2019	6	Unknown	379502	4706763				142				no	UNK	yes	yes	cross	281128704	278172232	281128653	unk	272106615	22	54	25.7	209	227	252	261	35	730	17.5	548	1.325	17.089	3.205	21.77	Male is from 2018 1.121 but is a perfect match and has other EPY in a different nest too.
2018	272107286	yes		yes		no	2	18	2_18_2018	2	18	2_18_2018	6	2_22_2018	381778	4706573	381758	4706534	44	133	131	-2	M	yes	EP	yes	yes	home	272106817	272106817	272107800	272107800	263113739	17	50	25.6					146	792	18.8	547	1.862	62.836	2.715	21.881	
2019	281128737	yes		yes		no	2	39	2_39_2019	2	39	2_39_2019	6	2_39_2019	382081	4706540	382081	4706540	0	132	132	0		yes	WP	yes	yes	home	272107748	272107748	272107817	272107817	272107817	19.5	55	25.3	247	218	231	217	60	840	17.5	626	5.587	37.127	7.29	21.989	
2018	272106985	yes		yes		no	TH	11	TH_11_2018	TH	11	TH_11_2018	0	TH_11_2018	382477	4699691	382477	4699691	0	0			M	yes	WP	yes	yes	home	272106697	272106697	272106698	272106698	272106698	23.5	51	25.9					98	823	18.5	706	1.772	18.611	11.405	22	
2019	281128507	yes		yes		no	2	3	2_3_2019	2	41	2_41_2019	4	2_41_2019	382095	4706497	382095	4706497	0	139	139	0		yes	WP	yes	yes	cross	278171872	278172152	272107815	272106957	272106957	21.5	52	26.9	183	195	234	208	70	755	19.5	609	0.47	6.631	2.941	22.138	
2018	156181135	no		yes		no	2	2	2_2_2018	2	27	2_27_2018	6		381855	4706536				134			F	no	UNK	no	yes	cross	272107807	272107297	272107817	unk		23.3	53	26.3					81	736	19.75	555	1.614	11.636	2.949	22.161	
2018	272106860	no		yes		no	2	121	2_121_2018	2	102	2_102_2018	6		381850	4706663				136			F	yes	EP	no	yes	cross	272107112	272107811	262126051	272106915		14.25	35	24.4					171	799	11.9	618	0.835	1.274	3.242	22.297	
2019	281128750	yes		yes		no	2	29	2_29_2019	2	29	2_29_2019	6	2_29_2019	381893	4706536	381893	4706536	0	132	132	0		yes	WP	yes	yes	home	88004754	88004754	272107257	272107257	272107257	21	38.5	24.5	176	207	219	200	63	742	18	643	0.47	5.6	2.339	22.316	"Cervus isn't too confident because there are other similar males, but this is the within pair mate."
2018	272107296	no		yes		no	4	71	4_71_2018	4	71	4_71_2018	5		387642	4702298				141			M	yes	EP	no	yes	home	272107779	272107779	272107693	272107693		23	53	26					86	721	17.5	647	1.696	13.319	8.425	22.439	
2018	272107454	no		yes		no	2	117	2_117_2018	2	77	2_77_2018	6	2_109_2018	381835	4706685	381738	4706622	116	137	129	-8	M	yes	EP	no	yes	cross	272106913	272107786	263114341	272107788	272107688	22.25	54	25.1					48	767	19.8	663	2.896	15.87	4.19	22.469	
2019	278172294	yes		yes		no	2	14	2_14_2019	2	14	2_14_2019	5	2_116_2019	381851	4706573	381868	4706624	54	147	134	-13		yes	EP	yes	yes	home	278172163	278172163	272107816	272107816	272107690	24	50	26.1	193	199	229	267	85	728	19.5	549	2.024	41.148	11.286	22.602	
2018	272106862	yes		yes		no	2	121	2_121_2018	2	102	2_102_2018	6	2_102_2018	381850	4706663	381850	4706663	0	136	136	0	M	yes	WP	yes	yes	cross	272107112	272107811	262126051	272106915	272106915	14	36	23.2					157	799	12.3	618	0.47	2.598	1.478	22.891	
2019	281128740	yes		yes		no	2	39	2_39_2019	2	80	2_80_2019	6	2_80_2019	381894	4706686	381894	4706686	0	132	132	0		yes	WP	yes	yes	cross	272107748	278172150	272107817	278172164	278172164	20	60	23.2	244	276	244	195	88	840	14.5	626	3.644	48.827	7.469	23.099	
2018	272107294	no		yes		no	4	71	4_71_2018	4	71	4_71_2018	5		387642	4702298				141			F	yes	EP	no	yes	home	272107779	272107779	272107693	272107693		22	55	25.6					116	721	18	647	3.326		3.784	23.133	
2018	156181133	yes		yes		no	2	2	2_2_2018	2	27	2_27_2018	6	2_22_2018	381855	4706536	381758	4706534	97	134	131	-3	F	no	UNK	yes	yes	cross	272107807	272107297	272107817	unk	263113739	20	52.5	25.6					143	736	16.5	555	0.47	7.657		23.183	
2018	272107281	no		yes		no	2	30	2_30_2018	2	121	2_121_2018	6		381962	4706625				135			F	yes	EP	no	yes	cross	272106613	272107112	272107257	262126051		23.5	48	25.8					74	734	22	598	3.529	3.687	2.143	23.207	
2019	281128774	yes		yes		no	2	119	2_119_2019	2	119	2_119_2019	5	2_119_2019	381924	4706624	381924	4706624	0	154	154	0		yes	WP	yes	yes	home	281128405	281128405	281128772	281128772	281128772	23	61	24.1	192	202	219	206	40	720	18	586	4.985	28.519	17.797	23.316	
2018	272107267	yes		yes		no	4	80	4_80_2018	4	72	4_72_2018	6	4_72_2018	387635	4702341	387635	4702341	0	133	133	0	M	yes	WP	yes	yes	cross	272107599	272107298	263114115	239159375	239159375	23	54	25.1					70	875	19.5	715	3.966	19.64	5.846	23.513	
2018	272106866	yes		yes		no	4	93	4_93_2018	4	93	4_93_2018	6	4_90_2018	387696	4702109	387662	4702228	124	138	136	-2	M	yes	EP	yes	yes	home	156181156	156181156	240134830	240134830	239160615	21	45	24.5					61	781	17	672	2.839	17.347	8.888	23.562	
2018	272106856	yes		yes		no	2	102	2_102_2018	2	30	2_30_2018	4	2_30_2018	381912	4706537	381912	4706537	0	136	136	0	M	yes	WP	yes	yes	cross	272107811	272106613	272106915	272107257	272107257	22	56	25.8					163	751	19.2	575	0.47	5.971	4.524	23.59	
2018	272107833	yes		yes		no	1	85	1_85_2018	1	17	1_17_2018	5	1_32_2018	379629	4706700	379572	4706724	62	138	132	-6	M	yes	EP	yes	yes	cross	272106711	272107153	272107529	156181128	88004790	23	55	27.7					99	777	17.25	588	5.924	25.258	11.716	23.62	
2018	272107443	yes		yes		no	2	80	2_80_2018	2	86	2_86_2018	6	2_102_2018	382016	4706687	381850	4706663	168	132	136	4	M	yes	EP	yes	yes	cross	272106904	272106907	272107256	272106824	272106915	17.8	36	22.8					130	825	16.5	697	8.549	30.961	4.454	23.868	
2019	281128743	yes		yes		no	1	105	1_105_2019	1	105	1_105_2019	5	1_105_2019	379556	4706847	379556	4706847	0	135	135	0		yes	WP	yes	yes	home	281128701	281128701	262125449	262125449	262125449	16.5	42	24.8	284	308	277	233	61	757	15.75	619	5.774	23.588	1.348	24	
2018	272106935	no		yes		no	4	72	4_72_2018	4	80	4_80_2018	5		387613	4702593				133			F	yes	EP	no	yes	cross	272107298	272107599	239159375	263114115		19.5	46	22.8					40	825	16.5	666	1.503	14.01	2.827	24.107	
2019	281128784	yes		yes		no	1	79	1_79_2019	1	79	1_79_2019	5	1_79_2019	379482	4706915	379482	4706915	0	156	156	0		yes	WP	yes	yes	home	281128654	281128654	278171397	278171397	278171397	22.5	64	24.4	228	269	240	270	85	888	19.25	621	0.47	8.425	6.735	24.148	
2019	281128731	yes		yes		no	2	80	2_80_2019	2	80	2_80_2019	6	2_80_2019	381894	4706686	381894	4706686	0	132	132	0		yes	WP	yes	yes	home	278172150	278172150	278172164	278172164	278172164	14	49	24.8	162	133	140	178	69	722	13.25	593	8.505	36.339	5.942	24.54	
2019	278171895	yes		yes		no	2	121	2_121_2019	2	121	2_121_2019	4	1_308_2019	381962	4706625				132				no	UNK	yes	yes	home	88004570	88004570	unk	unk	240150159	18	46	25.5	220	213	212	247	68	756	15.25	636	0.47	16.298	38.036	24.6	Male is from CU1 water but is perfect match for two nestlings. Check if RFID was recorded at CU2.
2019	281128542	yes		yes		no	2	37	2_37_2019	2	37	2_37_2019	5	2_37_2019	382042	4706538	382042	4706538	0	153	153	0		yes	WP	yes	yes	home	278172145	278172146	272106914	272106914	272106914	25.75	55	26.5	181	210	247	242	60	746	21	678	1.859	33.859	3.822	24.676	
2019	281128509	yes		yes		no	2	3	2_3_2019	2	3	2_3_2019	5	2_3_2019	382059	4706577	382059	4706577	0	139	139	0		yes	WP	yes	yes	home	278171872	278171872	272107815	272107815	272107815	17.5	41.5	24	178	223	179	149	60	755	14.75	609	0.997	4.692	1.91	24.741	
2018	272106969	yes		yes		no	TH	115	TH_115_2018	TH	115	TH_115_2018	5	TH_115_2018	382479	4699549	382479	4699549	0	0			F	yes	WP	yes	yes	home	272107842	272107842	272107841	272107841	272107841	20	54	26.4					55	816	17	622	1.73	26.444	12.642	24.754	
2019	281128777	yes		yes		no	2	119	2_119_2019	2	119	2_119_2019	5	2_119_2019	381924	4706624	381924	4706624	0	154	154	0		yes	WP	yes	yes	home	281128405	281128405	281128772	281128772	281128772	19.25	50	23.9	191	257	234	238	108	720	16.5	586	3.195	35.311	6.539	24.783	
2018	272106836	yes		yes		no	2	12	2_12_2018	2	12	2_12_2018	6	2_12_2018	381888	4706574	381888	4706574	0	132	132	0	M	yes	WP	yes	yes	home	272107748	272107748	272107816	272107816	272107816	19	48	25.4					81	769	13.5	589	0.47	2.916	2.663	24.898	
2018	272106977	yes		yes		no	2	82	2_82_2018	2	82	2_82_2018	5	2_117_2018	381934	4706686	381887	4706624	78	155	137	-18	F	yes	EP	yes	yes	home	272107596	272107596	272106974	272106974	263114341	19.5	55	26					180	728	16.5	661	7.357	16.743	6.116	24.941	
2018	272106967	no		yes		no	2	64	2_64_2018	2	71	2_71_2018	6	Unknown	381714	4706705				140			F	no	UNK	no	yes	cross	272106823	272106822	272107774	unk	263114244	18.8	51	25.5					84	796	16.75	587	25.004	38.09	2.987	25.096	
2019	281128804	yes		yes		no	1	81	1_81_2019	1	81	1_81_2019	6	1_81_2019	379528	4706915	379528	4706915	0	135	135	0		yes	WP	yes	yes	home	272107809	272107809	262125966	262125966	262125966	14	35	23.1	141			235	174	779	16.75	640	11.692			25.148	
2019	281128524	yes		yes		no	2	78	2_78_2019	2	78	2_78_2019	4	Unknown	381854	4706685				131				yes	WP	yes	yes	home	278171896	278171896	272107256	272107256	272107256	18.75	43	25.3	194	230	229	195	59	750	20	595	14.269	25.112	4.044	25.533	
2019	281128526	yes		yes		no	2	78	2_78_2019	2	78	2_78_2019	4	Unknown	381854	4706685				131				yes	WP	yes	yes	home	278171896	278171896	272107256	272107256	272107256	15.75	47	24.7	163	236	190	196	130	750	18.25	595	7.642	40.915	5.595	25.769	
2019	281128710	yes		yes		no	2	111	2_111_2019	2	111	2_111_2019	5	1_79_2019	381774	4706623	379482	4706915	2311	125	156	31		yes	EP	yes	yes	home	272107739	272107739	259122557	259122557	278171397	19	50	24.9	169	183	183	199	61	743	19	659	1.533	31.958	7.176	25.842	"Male is from 1.79, but is a perfect match for all three. Must be him."
2019	281128729	yes		yes		no	2	80	2_80_2019	2	80	2_80_2019	6	2_80_2019	381894	4706686	381894	4706686	0	132	132	0		yes	WP	yes	yes	home	278172150	278172150	278172164	278172164	278172164	15.75	49	25.4	174	118	98	128	40	722	12.75	593	14.921	40.214	9.625	25.88	
2019	278172273	yes		yes		no	2	101	2_101_2019	2	101	2_101_2019	6	Unknown	381869	4706663				131				yes	EP	yes	yes	home	278172147	278172147	278172199	278172199	272107256	19.5	53	23.2	186		165	245	65	778	16.5	541	11.036	25.899	12.811	26.03	
2019	281128682	yes		yes		no	1	86	1_86_2019	1	86	1_86_2019	5	1_86_2019	379545	4706871	379545	4706871	0	143	143	0		yes	WP	yes	yes	home	278172233	278172233	272107529	272107529	272107529	16	42	24.1	180	187	200	228	140	748	16.5	551	4.449	41.02	3.569	26.158	
2018	272107442	yes		yes		no	2	80	2_80_2018	2	86	2_86_2018	6	2_102_2018	382016	4706687	381850	4706663	168	132	136	4	F	yes	EP	yes	yes	cross	272106904	272106907	272107256	272106824	272106915	18.3	35	23.1					118	825	13.5	697	11.035	31.996	5.041	26.573	
2018	272107288	yes		yes		no	2	18	2_18_2018	2	14	2_14_2018	5	Unknown	381851	4706573				133			M	yes	WP	yes	yes	cross	272106817	272106905	272107800	272107762	272107762	23	52	27.1					71	792	19.2	547	6.692	19.486	7.166	27.037	
2018	272107832	yes		yes		no	1	85	1_85_2018	1	85	1_85_2018	5	1_85_2018	379561	4706889	379561	4706889	0	136	136	0	M	yes	WP	yes	yes	home	272106711	272106711	272107529	272107529	272107529	21.5	56	25.7					87	777	15.25	588	3.345	28.866	15.892	27.197	
2018	272106984	yes		yes		no	TH	11	TH_11_2018	TH	11	TH_11_2018	0	TH_11_2018	382477	4699691	382477	4699691	0	0			F	yes	WP	yes	yes	home	272106697	272106697	272106698	272106698	272106698	21	47.5	25.5					93	823	17.25	706	5.826	19.026	17.391	27.5	
2019	278172295	yes		yes		no	2	14	2_14_2019	2	14	2_14_2019	5	2_116_2019	381851	4706573	381868	4706624	54	147	134	-13		yes	EP	yes	yes	home	278172163	278172163	272107816	272107816	272107690	23	53	25.7	176	199	225	250	111	728	19.5	549	1.507	14.718	7.071	27.593	
2019	281128681	yes		yes		no	1	86	1_86_2019	1	86	1_86_2019	5	1_79_2019	379545	4706871	379482	4706915	77	143	156	13		yes	EP	yes	yes	home	278172233	278172233	272107529	272107529	278171397	17	37	24.6	186	228	199	192	90	748	17.25	551	1.17	4.807	2.742	27.624	
2019	278172283	yes		yes		no	1	47	1_47_2019	1	47	1_47_2019	5	1_86_2019	379574	4706895	379545	4706871	38	135	143	8		yes	EP	yes	yes	home	278172224	278172224	272106628	272106628	272107529	18	47	24.5	225		256	180	92	738	16.5	602	4.323	40.461	2.981	27.743	
2018	272107287	yes		yes		no	2	18	2_18_2018	2	18	2_18_2018	6	2_18_2018	381778	4706573	381778	4706573	0	133	133	0	F	yes	WP	yes	yes	home	272106817	272106817	272107800	272107800	272107800	20	56	26					57	792	19.6	547	13.22	9.457	5.443	27.836	
2019	278172305	yes		yes		no	2	94	2_94_2019	2	94	2_94_2019	6	2_94_2019	382001	4706664	382001	4706664	0	135	135	0		yes	WP	yes	yes	home	281128403	281128403	281128605	281128605	281128605	15	32	22.5	293		208	230	171	737	14.25	567	3.128		4.551	27.996	
2019	281128528	no		yes		no	2	85	2_85_2019	2	64	2_64_2019	6		381716	4706561				142				yes	EP	no	yes	cross	281128602	278172160	278172287	272107774		19	52	25.7	213	252	229	149	118	765	19	590	1.256	7.549	4.856	28.133	no match
2018	272106895	no		yes		no	2	22	2_22_2018	2	22	2_22_2018	5		381758	4706534				131			F	yes	EP	no	yes	home	272106635	272106635	263113739	263113739		20.3	49	24.8					47	756	18.5	621	1.441	13.218	5.596	28.22	
2018	272106849	no		yes		no	2	38	2_38_2018	2	49	2_49_2018	5		381945	4706495				133			M	no	UNK	no	yes	cross	272107806	272106906	232173070	unk		22.75	54	24.9					80	871	18.5	547	4.595	11.477	3.837	28.23	
2019	281128765	yes		yes		no	2	9	2_9_2019	2	54	2_54_2019	6	2_3_2019	381852	4706494	382059	4706577	223	141	139	-2		yes	EP	yes	yes	cross	278171877	MysteryA	272106986	278171879	272107815	16.5	43	25.5	153	170	162	254	54	823	17.5	547	0.595	23.441	1.873	28.25	Don't match genotype for anyone. Must be 2.54. Maybe have run wrong female sample or something?? Most likely sired by this male from 2.3 who is the only good match
2018	272107447	no		yes		no	2	86	2_86_2018	2	86	2_86_2018	6	2_117_2018	382016	4706687	381887	4706624	144	132	137	5	M	yes	EP	no	yes	home	272106907	272106907	272106824	272106824	263114341	21.1	49	26.1					149	888	18.75	698	0.639	2.264	8.012	28.379	
2018	272106954	no		yes		no	4	18	4_18_2018	4	18	4_18_2018	6		387133	4701726				138			M	yes	EP	no	yes	home	272107812	272107812	272107426	272107426		19.5	40	24					68	737	18.75	650	2.354	8.308	2.365	28.484	
2018	272107282	yes		yes		no	2	30	2_30_2018	2	30	2_30_2018	4	2_30_2018	381912	4706537	381912	4706537	0	136	136	0	M	yes	WP	yes	yes	home	272106613	272106613	272107257	272107257	272107257	23.5	51	25.2					116	734	19.7	598	3.444	27.502	4.12	28.575	
2019	281128744	yes		yes		no	1	105	1_105_2019	1	47	1_47_2019	5	1_86_2019	379574	4706895	379545	4706871	38	135	143	8		yes	EP	yes	yes	cross	281128701	278172224	262125449	272106628	272107529	17.25	43	24.5	276	346	276	229	175	757	16.5	619	2.325	16.758	2.632	28.677	
2019	281128787	yes		yes		no	1	79	1_79_2019	1	79	1_79_2019	5	1_79_2019	379482	4706915	379482	4706915	0	156	156	0		yes	WP	yes	yes	home	281128654	281128654	278171397	278171397	278171397	20.25	52	25.8	214	264	273	291	192	888	18.5	621	2.792	20.147	4.814	28.729	
2019	278172280	yes		yes		no	2	116	2_116_2019	2	127	2_127_2019	6	2_127_2019	382079	4706627	382079	4706627	0	134	134	0		yes	WP	yes	yes	cross	272107217	278172153	272107690	278171880	278171880	15.5	23.48	23.8	178	203	178	254	154	721	16	585	1.04	46.178	5.144	28.999	
